customer_id,age,annual_income,credit_score,employment_status,loan_amount,loan_term_months,interest_rate,debt_to_income,state,application_date,default_flag
CUST_000067,43.0,38140.93,603.0,employed,2257.19,72,18.2,0.059,florida,2024-09-02,0
CUST_000068,60.0,7002.7,, Employed ,6965.59,12,7.07,0.995,Unknown,2021-09-06,1
CUST_000069,50.0,70184.55,831.0,self-employed,7569.57,48,9.19,0.108,ZZ,2023-06-22,0
CUST_000070,35.0,67868.26,643.0,EMPLOYED,25351.42,84,6.48,0.374,CA,2022-07-19,0
CUST_000071,50.0,45610.25,643.0,student,3715.56,48,7.96,0.081,CA ,2021-12-17,0
CUST_000072,68.0,53288.42,612.0,self-employed,7621.2,84,5.38,0.143, TX,2022-01-13,0
CUST_000073,44.0,18970.44,,,1593.56,48,4.99,0.084,ZZ,2022-05-23,0
CUST_000074,68.0,27592.79,550.0,Unemployed,37730.35,72,2.73,1.367,CA,2022-09-12,0
CUST_000075,,18835.55,662.0,Self-Employed,25803.36,24,5.03,1.37,FL,2023-04-16,0
CUST_000076,57.0,,694.0,Self-Employed,11506.82,60,9.25,,OH,2024-09-14,0
CUST_000077,46.0,73250.26,565.0,,11242.91,60,7.5,0.153,NC,2022-06-19,0
CUST_000078,40.0,51584.85,809.0, Employed ,3639.36,12,7.8,0.071, TX,2024-03-01,0
CUST_000079,46.0,,806.0,unemployed,9705.53,24,7.06,,CA,2022-04-28,0
CUST_000080,18.0,157257.74,850.0,N/A,47465.55,96,8.99,0.302,california,2023-11-08,0
CUST_000081,41.0,41708.09,707.0,retired,2985.27,72,8.8,0.072,,2023-08-17,1
CUST_000082,50.0,21178.84,691.0,EMPLOYED,28965.81,60,8.6,1.368,TX,2022-10-19,0
CUST_000083,67.0,28542.17,642.0, Employed ,966.5,36,7.46,0.034,OH,2021-06-06,0
CUST_000084,37.0,23297.75,656.0,N/A,7470.02,72,10.83,0.321,TEXAS,2020-05-05,0
CUST_000085,32.0,,742.0,,37538.19,72,2.08,,GA,2023-11-30,0
CUST_000086,37.0,12604.03,651.0,Unemployed,11775.16,48,6.06,0.934,florida,2020-06-20,0
CUST_000087,58.0,45957.62,,self-employed,24259.87,72,5.95,0.528,FL,2021-07-09,0
CUST_000088,49.0,71115.58,,part-time,2186.07,60,10.57,0.031,new york,2024-05-03,0
CUST_000089,37.0,61558.29,587.0,,23003.95,72,6.78,0.374,TEXAS,2022-08-08,0
CUST_000090,52.0,44886.4,808.0,employed,34187.45,48,5.39,0.762,CA ,2024-08-07,0
CUST_000091,46.0,57556.09,650.0,Unknown,32720.35,24,9.05,0.568,florida,2021-07-18,0
CUST_000092,59.0,49705.67,726.0,Retired,11556.04,84,11.06,0.232,ZZ,2024-09-24,0
CUST_000093,,83895.25,569.0,Student,46897.58,60,10.87,0.559,GA,2024-02-12,1
CUST_000094,40.0,29983.04,645.0,Student,17112.14,48,11.47,0.571,N/A,2021-05-09,1
CUST_000095,39.0,17486.23,610.0,Unknown,34060.88,60,8.88,1.948,TEXAS,2020-01-15,0
CUST_000096,23.0,48656.57,614.0,Part-time,4802.22,60,9.4,0.099,florida,2020-05-23,0
CUST_000097,49.0,86425.5,536.0,self-employed,4720.54,12,7.67,0.055,TX,2023-06-23,1
CUST_000098,48.0,26570.13,,Self-Employed,28077.94,72,7.46,1.057,florida,2022-02-02,0
CUST_000099,45.0,130362.47,698.0,part-time,20805.08,12,5.38,0.16,new york,2023-07-16,0
CUST_000100,,49280.16,508.0,Self-Employed,22559.37,96,10.72,0.458,florida,2023-05-24,0
CUST_000101,23.0,76319.15,628.0,Employed,5398.68,24,2.75,0.071,TEXAS,2020-02-04,0
CUST_000102,38.0,14337.6,628.0,retired,10203.94,48,4.32,0.712,NY,2023-04-28,0
CUST_000103,39.0,68372.12,689.0,student,5978.36,72,14.47,0.087,ZZ,2021-06-04,0
CUST_000104,32.0,52805.44,635.0,,1411.15,12,8.13,0.027,ZZ,2024-01-25,0
CUST_000105,,,758.0,,4561.64,12,8.95,,ZZ,2020-11-19,1
CUST_000106,51.0,,,retired,106634.57,24,4.62,,CA ,2021-09-07,1
CUST_000107,73.0,61271.87,850.0,Retired,5332.56,36,10.05,0.087,FL,2020-06-10,1
CUST_000108,47.0,18843.82,427.0,,3470.25,36,12.9,0.184,,2021-11-19,1
CUST_000109,48.0,46812.15,786.0,EMPLOYED,23872.32,60,13.14,0.51, TX,2024-01-01,0
CUST_000110,43.0,90818.82,729.0,N/A,18433.32,96,3.65,0.203,TX,2022-02-08,0
CUST_000111,18.0,27520.6,632.0,EMPLOYED,27409.45,24,12.24,0.996,TX,2024-05-07,0
CUST_000112,44.0,20547.66,624.0,Unemployed,21207.44,48,8.53,1.032,CA ,2021-10-25,1
CUST_000113,45.0,181141.38,641.0,,5046.13,72,0.41,0.028, TX,2024-09-20,0
CUST_000114,81.0,29082.57,674.0,Unemployed,13899.22,12,3.57,0.478,TX,2023-05-14,0
CUST_000115,42.0,74908.3,595.0,unemployed,3887.3,84,2.48,0.052,california,2024-04-08,0
CUST_000116,49.0,24778.19,489.0,Employed,5848.21,84,10.43,0.236,california,2024-01-12,0
CUST_000117,44.0,25582.76,598.0,Student,86729.82,36,7.9,2.0,99,2024-03-04,0
CUST_000118,27.0,32917.25,,Employed ,26089.12,96,6.42,0.793,FL,2020-07-11,0
CUST_000119,62.0,,707.0,,30543.38,12,8.2,,MI,2020-06-04,1
CUST_000120,56.0,92457.65,531.0, Employed ,610.4,60,14.12,0.007,TEXAS,2021-10-05,0
CUST_000121,,23187.21,714.0,N/A,9629.67,84,7.56,0.415,CA,2024-02-26,0
CUST_000122,31.0,89010.02,529.0,Retired,16204.81,96,9.55,0.182,CA,2021-10-25,1
CUST_000123,66.0,40565.54,689.0,Part-time,3242.71,96,10.52,0.08,CA,2022-02-21,0
CUST_000124,23.0,31546.05,705.0,self-employed,37749.52,12,4.61,1.197,CA ,2022-03-02,0
CUST_000125,53.0,56816.47,636.0,EMPLOYED,3007.16,24,10.31,0.053,Unknown,2020-11-03,0
CUST_000126,77.0,113924.84,654.0,part-time,20239.82,96,11.44,0.178,MI,2021-03-24,0
CUST_000127,30.0,54854.44,719.0,N/A,16112.31,48,11.7,0.294,florida,2024-05-13,0
CUST_000128,36.0,20307.76,591.0,EMPLOYED,37851.04,84,8.03,1.864, TX,2024-02-19,0
CUST_000129,46.0,40820.92,680.0,,7473.83,12,11.5,0.183,IL,2024-12-27,0
CUST_000130,37.0,56939.35,614.0,EMPLOYED,6683.84,72,10.07,0.117,CA,2020-11-22,0
CUST_000131,21.0,22592.59,805.0,Employed ,37469.78,72,8.72,1.658,MI,2021-10-12,0
CUST_000132,46.0,45466.32,,Part-time,5005.31,48,11.43,0.11,CA ,2023-11-13,0
CUST_000133,29.0,,545.0,Unknown,27411.68,84,14.08,,,2020-06-06,0
CUST_000134,52.0,60317.1,831.0,,4242.73,72,11.45,0.07,ZZ,2022-12-07,0
CUST_000135,31.0,117201.68,750.0,,41700.41,24,8.26,0.356,99,2023-10-19,0
CUST_000136,68.0,,529.0,,36534.91,60,6.94,,florida,2024-01-03,0
CUST_000137,33.0,65928.22,497.0,unemployed,30972.79,24,10.19,0.47,florida,2021-11-12,0
CUST_000138,40.0,82453.28,527.0,PART-TIME,13524.67,36,8.99,0.164,,2021-09-04,0
CUST_000139,57.0,25765.43,551.0,retired,688.5,96,12.09,0.027,N/A,2021-01-29,0
CUST_000140,26.0,50952.73,665.0,Employed ,2841.99,96,5.46,0.056, TX,2021-05-19,0
CUST_000141,48.0,90290.63,658.0,Self-Employed,12198.38,84,11.82,0.135,new york,2024-12-30,0
CUST_000142,64.0,134519.4,723.0,N/A,892.58,60,4.03,0.007,MI,2024-09-07,0
CUST_000143,20.0,29067.21,618.0,Student,1311.53,12,7.94,0.045,TX,2023-12-10,0
CUST_000144,47.0,14740.26,623.0,self-employed,2682.15,48,10.37,0.182,TEXAS,2020-01-23,0
CUST_000145,48.0,,661.0,EMPLOYED,6045.0,60,8.14,,NY,2023-08-14,0
CUST_000146,56.0,43610.8,762.0,EMPLOYED,27671.78,84,9.9,0.635,florida,2023-09-02,0
CUST_000147,26.0,37207.96,460.0,,983.44,60,12.93,0.026,PA,2022-10-22,0
CUST_000148,25.0,23969.21,624.0,Unemployed,82257.58,84,6.69,2.0,TEXAS,2023-04-11,0
CUST_000149,52.0,73667.75,781.0,Retired,6399.41,36,4.01,0.087,IL,2021-03-09,0
CUST_000150,49.0,22676.54,,student,7719.07,12,4.87,0.34,california,2022-06-23,0
CUST_000151,48.0,21157.63,620.0,Unemployed,5697.32,72,8.22,0.269,OH,2023-04-02,0
CUST_000152,50.0,32668.51,568.0,employed,18445.71,60,12.49,0.565,NC,2023-03-15,0
CUST_000153,34.0,76351.71,740.0,EMPLOYED,392.36,36,7.5,0.005,TEXAS,2022-01-22,1
CUST_000154,48.0,12269.61,601.0,retired,1964.82,48,15.4,0.16,,2021-12-16,0
CUST_000155,49.0,16125.06,601.0, Employed ,2080.06,48,4.43,0.129,IL,2021-03-23,0
CUST_000156,,18851.27,786.0,PART-TIME,21844.6,96,2.9,1.159,Unknown,2024-05-19,0
CUST_000157,72.0,177476.49,545.0,part-time,7995.28,72,9.25,0.045,OH,2024-12-30,0
CUST_000158,52.0,45525.37,813.0,,11507.08,12,6.69,0.253,TX,2020-07-14,0
CUST_000159,27.0,,666.0,retired,59903.99,72,6.09,,Unknown,2021-03-29,0
CUST_000160,54.0,32703.57,652.0,Unemployed,4463.94,84,8.57,0.136,NC,2023-03-21,0
CUST_000161,30.0,67409.24,678.0,employed,1455.65,12,100.0,0.022,FL,2024-12-28,0
CUST_000162,56.0,179864.78,652.0,Employed,11647.26,12,10.25,0.065,NC,2021-01-01,0
CUST_000163,62.0,10607.39,597.0,Self-Employed,3584.28,48,9.13,0.338,99,2020-04-10,1
CUST_000164,32.0,15371.51,684.0,student,3125.06,24,7.35,0.203,NY,2020-10-10,0
CUST_000165,59.0,,601.0,retired,10557.13,12,9.17,,CA ,2021-12-14,0
CUST_000166,51.0,28496.66,692.0,Unemployed,22152.12,96,14.62,0.777,new york,2021-12-01,1
CUST_000167,57.0,28133.07,850.0,Employed ,5563.93,24,7.71,0.198,california,2024-01-25,0
CUST_000168,73.0,33196.52,716.0,Retired,41743.65,24,6.93,1.257,OH,2021-05-23,0
CUST_000169,41.0,184051.53,631.0,EMPLOYED,9002.39,84,10.65,0.049,new york,2024-04-07,1
CUST_000170,33.0,13192.7,675.0,Retired,54376.64,12,6.38,2.0,OH,2024-08-29,1
CUST_000171,31.0,41268.65,618.0,Part-time,13561.04,24,10.04,0.329,TEXAS,2024-06-25,0
CUST_000172,,56884.63,631.0,Employed,25946.48,24,11.13,0.456,NY,2020-10-23,0
CUST_000173,43.0,11369.39,638.0,Retired,37811.74,24,12.98,2.0,N/A,2024-02-21,0
CUST_000174,50.0,114389.5,697.0,Retired,15088.54,72,7.47,0.132,,2021-05-09,0
CUST_000175,49.0,,740.0,Self-Employed,37985.57,36,4.28,,IL,2024-11-07,0
CUST_000176,57.0,15260.78,850.0,student,9495.72,60,7.68,0.622,NY,2023-02-26,0
CUST_000177,45.0,125168.28,714.0,student,9032.4,12,9.07,0.072,CA ,2024-08-26,1
CUST_000178,66.0,62631.47,540.0,Part-time,31603.74,36,6.52,0.505,CA ,2024-08-20,1
CUST_000179,41.0,23526.31,521.0,retired,5522.18,12,8.92,0.235,GA,2021-08-26,0
CUST_000180,85.0,64861.1,,Unemployed,25248.89,84,14.08,0.389,,2021-10-16,0
CUST_000181,54.0,,750.0,unemployed,1604.41,96,6.67,,99,2023-06-17,0
CUST_000182,32.0,10623.49,629.0,student,20191.44,60,5.91,1.9,ZZ,2023-01-21,1
CUST_000183,28.0,11487.33,630.0,retired,56915.14,96,11.5,2.0,,2024-04-23,0
CUST_000184,52.0,47543.25,739.0,,12193.26,24,4.54,0.256,TEXAS,2020-12-24,0
CUST_000185,41.0,8802.86,647.0,retired,10755.89,36,8.54,1.222,OH,2022-07-05,0
CUST_000186,55.0,81173.89,753.0,Unknown,15554.11,12,6.82,0.192,N/A,2023-03-30,0
CUST_000187,52.0,12031.76,499.0,student,25428.34,24,3.21,2.0,NC,2020-03-21,0
CUST_000188,43.0,75850.78,697.0,,8889.41,48,8.04,0.117,MI,2023-06-11,0
CUST_000189,32.0,113416.85,472.0,Employed ,2.6,36,6.49,0.0, TX,2021-01-13,0
CUST_000190,22.0,53730.0,676.0,PART-TIME,13946.51,72,10.12,0.26,IL,2024-04-11,0
CUST_000191,38.0,1899.17,740.0,Employed,10869.67,96,9.14,2.0,ZZ,2020-01-25,0
CUST_000192,,,487.0,employed,15215.81,36,9.06,,99,2022-03-26,0
CUST_000193,,,420.0,retired,25127.25,84,5.46,,OH,2020-02-14,1
CUST_000194,26.0,34680.3,,unemployed,6664.5,48,6.69,0.192,ZZ,2024-04-16,0
CUST_000195,47.0,20037.57,694.0,Retired,14074.45,84,9.3,0.702,florida,2020-04-15,0
CUST_000196,50.0,139482.58,540.0,Part-time,5844.21,24,5.66,0.042,florida,2021-11-27,0
CUST_000197,31.0,,674.0,retired,12299.54,60,8.38,,california,2024-07-04,0
CUST_000198,47.0,26241.67,,employed,8448.33,48,9.62,0.322,PA,2023-11-10,0
CUST_000199,45.0,,632.0,PART-TIME,9210.3,48,10.9,,NY,2024-05-21,0
CUST_000200,27.0,73395.18,623.0,student,17319.61,12,6.77,0.236,,2024-06-04,0
CUST_000201,50.0,14677.38,516.0,Part-time,23398.58,36,7.25,1.594,FL,2024-08-15,0
CUST_000202,53.0,47439.96,740.0,Retired,254.79,84,9.13,0.005,99,2023-12-20,0
CUST_000203,61.0,43314.28,544.0,employed,41853.17,60,6.16,0.966,N/A,2021-06-20,0
CUST_000204,60.0,11185.08,659.0,Part-time,9061.68,60,4.07,0.81,NC,2020-06-12,0
CUST_000205,24.0,,715.0,EMPLOYED,20634.61,96,9.63,,CA ,2020-07-25,0
CUST_000206,30.0,35481.57,566.0,part-time,2611.11,60,7.66,0.074,MI,2021-05-03,0
CUST_000207,52.0,202989.72,,N/A,16947.24,36,10.21,0.083,OH,2020-11-07,1
CUST_000208,52.0,112174.81,599.0,part-time,22692.64,60,6.67,0.202,CA ,2024-07-08,0
CUST_000209,52.0,43377.02,822.0,Employed ,3426.16,12,8.78,0.079, TX,2024-03-02,0
CUST_000210,85.0,33863.11,741.0,Employed,48643.58,24,2.73,1.436,IL,2021-04-23,0
CUST_000211,53.0,7074.41,725.0,Student,28332.3,84,10.44,2.0, TX,2021-11-12,0
CUST_000212,62.0,71244.38,850.0,part-time,15267.94,12,6.78,0.214,NY,2024-06-10,0
CUST_000213,59.0,,685.0,unemployed,3632.02,24,8.05,,CA,2023-01-17,0
CUST_000214,54.0,24985.67,616.0,employed,40131.46,72,8.01,1.606,NY,2020-10-01,0
CUST_000215,40.0,36945.84,506.0,part-time,1421.89,36,7.39,0.038,CA ,2024-09-04,0
CUST_000216,56.0,125780.86,580.0,Part-time,2447.23,48,8.71,0.019,TEXAS,2022-04-12,0
CUST_000217,,108197.92,665.0,,23958.11,48,8.54,0.221,florida,2020-07-26,0
CUST_000218,41.0,107959.5,743.0,student,5856.86,60,9.2,0.054,NC,2024-12-04,0
CUST_000219,37.0,,584.0,Retired,12298.48,60,4.47,,NY,2020-06-04,0
CUST_000220,46.0,128503.87,,EMPLOYED,15483.25,36,10.97,0.12,GA,2021-06-19,0
CUST_000221,79.0,24536.38,496.0,retired,12258.43,48,8.1,0.5,MI,2020-07-14,0
CUST_000222,18.0,65972.12,612.0,Part-time,1752.46,24,9.59,0.027,TX,2020-03-04,1
CUST_000223,55.0,,690.0,unemployed,26748.14,36,8.09,,GA,2021-04-15,0
CUST_000224,20.0,32443.3,663.0,Retired,5488.48,48,5.09,0.169,NY,2023-11-26,0
CUST_000225,37.0,43104.0,697.0,Retired,26828.84,24,16.6,0.622,NY,2020-09-27,0
CUST_000226,61.0,9754.05,,,40092.74,60,8.9,2.0, TX,2023-02-15,0
CUST_000227,45.0,,714.0,Retired,15373.53,84,3.45,,ZZ,2024-11-08,1
CUST_000228,28.0,30081.24,625.0,Self-Employed,24509.13,84,8.21,0.815,TEXAS,2020-07-28,0
CUST_000229,34.0,210478.2,619.0,Retired,752.75,60,7.24,0.004, TX,2020-08-13,0
CUST_000230,55.0,37165.01,567.0,Retired,748.81,48,7.98,0.02,,2024-09-12,0
CUST_000231,34.0,20502.6,850.0,Self-Employed,4392.05,24,3.26,0.214,FL,2021-07-08,0
CUST_000232,48.0,39821.0,642.0,unemployed,8875.28,72,8.6,0.223,FL,2020-06-24,0
CUST_000233,45.0,21216.06,693.0,Unknown,4037.03,96,5.71,0.19,NC,2022-05-23,0
CUST_000234,35.0,11671.26,628.0,EMPLOYED,20154.98,36,13.22,1.727,california,2023-07-11,0
CUST_000235,77.0,50494.82,809.0, Employed ,6483.81,48,8.16,0.128,PA,2024-05-30,0
CUST_000236,54.0,36539.65,648.0,self-employed,37383.75,96,10.8,1.023,Unknown,2022-09-26,0
CUST_000237,18.0,80381.6,682.0,student,16447.08,48,11.33,0.205,NY,2024-01-24,0
CUST_000238,47.0,116402.52,562.0,,9498.86,72,9.93,0.082,99,2020-03-28,1
CUST_000239,35.0,164631.52,826.0,Part-time,44713.14,72,9.02,0.272,florida,2020-07-11,0
CUST_000240,57.0,43642.15,671.0,Employed ,35247.48,12,12.01,0.808,new york,2024-01-22,0
CUST_000241,33.0,63147.71,829.0,retired,34299.87,72,6.51,0.543,99,2023-11-20,0
CUST_000242,43.0,45489.98,589.0,,26064.91,12,10.89,0.573,IL,2020-09-28,0
CUST_000243,52.0,5679.84,605.0,EMPLOYED,19049.47,72,7.17,2.0,FL,2022-07-18,0
CUST_000244,57.0,97615.96,597.0, Employed ,9140.12,12,8.79,0.094,NY,2022-05-26,0
CUST_000245,26.0,56198.92,621.0,Self-Employed,10984.42,96,4.63,0.195,IL,2023-03-13,0
CUST_000246,39.0,56806.17,717.0,student,20832.77,84,4.33,0.367,CA ,2023-11-29,0
CUST_000247,37.0,24099.33,445.0,Student,3795.9,96,8.26,0.158,,2021-12-04,1
CUST_000248,35.0,21712.15,645.0,Unknown,35183.67,84,11.93,1.62,NC,2022-03-16,0
CUST_000249,71.0,34393.0,571.0,Self-Employed,55829.8,48,7.85,1.623,florida,2023-08-29,1
CUST_000250,51.0,56745.98,561.0,self-employed,2062.56,84,13.91,0.036,N/A,2020-12-12,0
CUST_000251,26.0,7617.14,,student,454.23,24,9.77,0.06,OH,2020-07-25,0
CUST_000252,58.0,42691.35,680.0,Employed ,3079.35,36,7.96,0.072,MI,2022-06-30,0
CUST_000253,76.0,140195.65,736.0,Self-Employed,28534.21,36,13.24,0.204,california,2021-07-14,0
CUST_000254,60.0,32693.49,688.0,Employed ,2281.89,60,12.69,0.07,Unknown,2022-05-04,0
CUST_000255,22.0,,667.0,self-employed,9312.25,48,4.14,,TEXAS,2022-11-24,0
CUST_000256,37.0,31227.21,594.0,unemployed,1304.08,12,8.38,0.042,MI,2021-02-12,0
CUST_000257,64.0,45975.79,557.0,retired,11332.31,36,10.14,0.246,IL,2023-07-02,1
CUST_000258,34.0,49063.48,709.0,unemployed,18519.7,84,10.81,0.377,TEXAS,2023-05-28,0
CUST_000259,51.0,41101.12,624.0,Unemployed,19804.65,24,100.0,0.482,,2022-10-15,1
CUST_000260,56.0,,689.0,N/A,14634.24,24,7.97,,,2023-12-02,0
CUST_000261,31.0,40648.0,649.0,,55647.26,96,7.51,1.369,MI,2021-01-22,0
CUST_000262,44.0,42342.33,445.0,Unemployed,15148.87,48,8.16,14.181, TX,2023-10-17,1
CUST_000263,18.0,23033.57,,N/A,39213.7,96,6.1,1.702,new york,2021-12-10,0
CUST_000264,29.0,77300.92,587.0,,99310.59,72,4.13,1.285,new york,2021-02-01,0
CUST_000265,41.0,141161.87,736.0,Part-time,5220.68,24,10.16,0.037,CA,2021-03-26,0
CUST_000266,26.0,21971.5,464.0,Part-time,6172.27,60,10.34,0.281,TX,2020-12-06,0
CUST_000267,69.0,33292.46,839.0,part-time,14757.43,48,14.12,0.443, TX,2021-11-04,0
CUST_000268,,,590.0,Unemployed,4027.11,48,6.61,,,2022-09-24,1
CUST_000269,-5.0,18596.23,697.0,N/A,16608.0,72,9.67,0.893, TX,2021-10-03,0
CUST_000270,46.0,175511.35,578.0,Employed,23064.95,84,7.69,0.131,california,2024-02-24,0
CUST_000271,66.0,28630.25,,part-time,1245.97,96,8.03,0.044,,2023-07-10,0
CUST_000272,23.0,,718.0,self-employed,22876.06,60,6.48,,PA,2023-12-13,0
CUST_000273,62.0,20274.1,629.0,Employed,3474.38,60,8.65,0.171,,2024-04-07,0
CUST_000274,,,636.0,EMPLOYED,7114.04,96,12.93,,,2023-06-02,0
CUST_000275,30.0,31582.96,734.0,EMPLOYED,26850.13,72,7.12,0.85,MI,2024-04-09,0
CUST_000276,51.0,50450.35,668.0, Employed ,3572.73,24,9.8,0.071,new york,2020-05-06,0
